Test Script ID,senderAsID,sender204ID,ship,customerName,customerMasterID,pick1EDI,actualTimeP1,actualTimeP2,pick1Name,pick1Address,pick1City,pick1State,pick1Zip,pick1Contact,pick1Email,pick1Phone,pick1Item1Qty,pick1Item1PO,pick1Item1Weight,pick1Item2Qty,pick1Item2PO,pick1Item2Weight,pick1Item3Qty,pick1Item3PO,pick1Item3Weight,pick1Item4Qty,pick1Item4PO,pick1Item4Weight,drop1EDI,drop1TimeD1,drop1TimeD2,drop1Name,drop1Address,drop1City,drop1State,drop1Zip,drop1Contact,drop1Email,drop1Phone,drop1Item1Qty,drop1Item1PO,drop1Item1Weight,drop1Item2Qty,drop1Item2PO,drop1Item2Weight,carrier1Number,carrier1Name,carrier2Number,carrier2Name,containerCode,item1Qty,item1Type,stcc,item1Weight,spq,service,rrPlan,cofc_Tofc,carrier2Stop1,carrier2Stop2,routeCode,notifyParty,carrier3Number,carrier3Name,carrier1EdiType,carrier1EdiInOut,carrier1EdiStatus,carrier2EdiType,carrier2EdiInOut,carrier2EdiStatus,carrier3EdiType,carrier3EdiInOut,carrier3EdiStatus,railCarrierName,railCarrierEdiType,railCarrierEdiInOut,railCarrierEdiStatus,customerEdiStatus,invoiceAmount,invoiceStatus,customerId,rateType,customerLinehaulRate,fuelSurcharge,carrierLinehaulRate,itemDescription,shipperName,emailData,driverName,dispatchName
EDI-25173,,,,FORD MOTOR C/O CASS INFO SYSTEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""00103798""","""MARTEN TRANSPORT, LTD.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDI-25174,,,,FORD MOTOR C/O CASS INFO SYSTEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDI-25175,,,,FORD MOTOR C/O CASS INFO SYSTEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDI-25176,,,,HYDROFARM WEST,"""51415""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDI-25177,SNKS,"""086170107""",HydroAuto,HYDROFARM WEST,,,"""1400""","""1630""",Hydrofarm Mountain Region,"""4200 East 50th Avenue""","""DENVER""",CO,"""80216""","""SHIP REC""",LTL@SUNTECKTTS.COM,"""707 765 9990""",1,Pallet/ Dunnage,"""45""",21,"""APGN0800-CO2 Generator NG 22,136 BTU 21.6 CU/FT Hr. RC: 50 NMFC: 61450-05""",421,23,"""FX14021-Tiger Bloom, 2.5 gal RC: 70 NMFC: 68140-06""",292,3,"""TRCDSC1-CO2 Device Station with cable set RC: 92.5 NMFC: 155805""",2,,"""1050""","""1050""",HONE BROTHERS RETAIL TULSA - LLC - DBA - ENDLESS S,6650 E. 44TH,TULSA,OK,"""74145""",AP AP,TULSA@endlessgardensup...,"""918.551.7055""",1,,"""715""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDI-25178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDI-25179,SNKS,"""086170107""",Hydro2Auto,HYDROFARM WEST,,,"""1400""","""1630""",Hydrofarm Mountain Region,"""4200 East 50th Avenue""","""DENVER""",CO,"""80216""","""SHIP REC""",LTL@SUNTECKTTS.COM,"""707 765 9990""",21,APGN0800-CO2 GENERATOR NG 22,"""421""",23,"""FX14021-TIGER BLOOM, 2.5 GAL RC: 70 NMFC: 68140-06""",292,1,"""PALLET/DUNNAGE-PALLET/DUNNAGE RC: 70 NMFC: 150400-09""",90,3,"""TRCDSC1-CO2 DEVICE STATION WITH CABLE SET RC: 92.5 NMFC: 155805""",2,,"""1420""","""1420""",HONE BROTHERS RETAIL TULSA - LLC - DBA - ENDLESS S,6650 E. 44TH,TULSA,OK,"""74145""",AP AP,TULSA@endlessgardensup...,"""918.551.7055""",1,,"""805""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDI-89404,,,"""603662726""",MARMAXX GROUP,"""36586""",,"""1400""","""1630""",HOME ESSENTIALS AND BEYOND INC,,,,,,,,4,,"""5393""",,,,,,,,,,,"""01:00""","""23:00""","""4 WHATITSWORTH""",,,,,,,,,,,,,,,,,,,4,CONTAINER,FAK,"""17374""",SPQ,RR,25,COFC,85,147,CSXT,Destination Drayman,"""00135797""","""JB HUNT TRANSPORT, INC DBA JB HUNT""",,,,,,,,,,CSX INTERMODAL TERMINALS INC ,,,,,,,,SPOT,300,100,120,FAK,HOME ESSENTIALS AND BEY,TEST,,
EDI-89406,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""00103798""","""MARTEN TRANSPORT, LTD.""","""00152494""","""CSX INTERMODAL TERMINALS INC """,,4,,,,,,,,,,,,"""00135797""","""JB HUNT TRANSPORT, INC DBA JB HUNT""",,,,,,,,,,,,,,,,,,,,,,,,TEST,,
EDI-89408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST,,
EDI-89409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EDI DRIVER,DISPATCHER NAME
EDI-89411,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""CSX INTERMODAL TERMINALS INC """,,4,,,,,,,,,,,,,,,,,404,Out,Original,,,,,,,,,,,,,,,,,,,,
EDI-001,,,,EDI Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOT,,,,,EDI Shipper,,,
EDI-002,,,,EDI Customer 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOT,,,,,Reject Shipper,,,
